relay,temperature,overtemperature,energy,power,plug
on,29.52,0,45206,0,Shelly2
on,29.52,0,45206,0,Shelly2
on,29.86,0,45206,0,Shelly2
on,29.86,0,45206,0,Shelly2
on,29.81,0,45206,0,Shelly2
on,29.81,0,45206,0,Shelly2
on,30.2,0,45206,0,Shelly2
on,30.2,0,45206,0,Shelly2
on,30.37,0,45206,0,Shelly2
on,30.37,0,45206,0,Shelly2
on,29.75,0,45206,0,Shelly2
on,29.75,0,45206,0,Shelly2
on,29.86,0,45206,0,Shelly2
on,29.86,0,45206,0,Shelly2
on,29.75,0,45206,0,Shelly2
on,29.75,0,45206,0,Shelly2
on,29.75,0,45206,0,Shelly2
on,29.75,0,45206,0,Shelly2
on,29.52,0,45206,0,Shelly2
on,29.52,0,45206,0,Shelly2
on,29.92,0,45206,0,Shelly2
on,29.92,0,45206,0,Shelly2
on,29.81,0,45206,0,Shelly2
on,29.81,0,45206,0,Shelly2
on,29.46,0,45206,0,Shelly2
on,29.46,0,45206,0,Shelly2
on,30.03,0,45206,0,Shelly2
on,30.03,0,45206,0,Shelly2
on,30.2,0,45206,0.35,Shelly2
on,30.2,0,45206,0.35,Shelly2
on,30.03,0,45206,0,Shelly2
on,30.03,0,45206,0,Shelly2
on,30.26,0,45206,0,Shelly2
on,30.26,0,45206,0,Shelly2
on,29.81,0,45206,0,Shelly2
on,29.81,0,45206,0,Shelly2
on,29.52,0,45206,0,Shelly2
on,29.52,0,45206,0,Shelly2
on,29.75,0,45206,0,Shelly2
on,29.75,0,45206,0,Shelly2
on,29.46,0,45206,0,Shelly2
on,29.46,0,45206,0,Shelly2
on,29.81,0,45206,0,Shelly2
on,29.81,0,45206,0,Shelly2
on,29.46,0,45206,0,Shelly2
on,29.46,0,45206,0,Shelly2
on,29.69,0,45206,0,Shelly2
on,29.69,0,45206,0,Shelly2
on,29.58,0,45206,0,Shelly2
on,29.58,0,45206,0,Shelly2
on,29.86,0,45206,0,Shelly2
on,29.86,0,45206,0,Shelly2
on,30.43,0,45206,0,Shelly2
on,30.43,0,45206,0,Shelly2
on,30.09,0,45206,0,Shelly2
on,30.09,0,45206,0,Shelly2
on,29.86,0,45206,0,Shelly2
on,29.86,0,45206,0,Shelly2
on,29.92,0,45206,0,Shelly2
on,29.92,0,45206,0,Shelly2
on,30.03,0,45206,0,Shelly2
on,30.03,0,45206,0,Shelly2
on,29.69,0,45206,0,Shelly2
on,29.69,0,45206,0,Shelly2
on,29.81,0,45206,0,Shelly2
on,29.81,0,45206,0,Shelly2
on,29.75,0,45206,0,Shelly2
on,29.75,0,45206,0,Shelly2
on,29.75,0,45206,0,Shelly2
on,29.75,0,45206,0,Shelly2
on,29.92,0,45206,0,Shelly2
on,29.92,0,45206,0,Shelly2
on,30.2,0,45206,0,Shelly2
on,30.2,0,45206,0,Shelly2
on,30.09,0,45206,0,Shelly2
on,30.09,0,45206,0,Shelly2
on,29.98,0,45206,0,Shelly2
